id,user_id,role_id,position,department,team,action,resource,resource_scope,permission_age_days,policy_attachment,usage_count,unique_days_used,days_since_last_use,first_used,last_used,success_count,failure_count,success_rate,failure_rate,permission_status,service,operation_type,risk_level,risk_weight,reason,row_id,active_days,usage_frequency,smoothed_failure_rate,log_usage_count,log_unique_days_used,action_family,is_delete,is_permission_change,is_security_sensitive,is_wildcard_resource,scope_breadth
1,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,apigateway:TagResource,arn:aws:synthetic:api-gateway:123456789012:resource/tagresource-7291,specific,602,MANAGED,4,4,111,2026-05-23 21:57:00+00:00,2026-05-31 21:57:00+00:00,4,0,1.0,0.0,INTENDED,API Gateway,TAGGING,LOW,3,Changes resource tags or metadata.,1,8.0,1.0,0.16666666666666666,1.6094379124341003,1.6094379124341003,tag,0,0,0,0,0.0
2,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,apigateway:GetRestApis,arn:aws:synthetic:api-gateway:123456789012:resource/getrestapis-8251,specific,428,INLINE,19,10,30,2026-07-20 21:44:00+00:00,2026-08-20 21:44:00+00:00,19,0,1.0,0.0,INTENDED,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.,2,31.0,1.9,0.047619047619047616,2.995732273553991,2.3978952727983707,get,0,0,0,0,0.0
3,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,rds:CreateDBProxy,arn:aws:synthetic:rds:123456789012:resource/createdbproxy-7232,specific,292,MANAGED,43,8,34,2026-07-19 16:03:00+00:00,2026-08-16 16:03:00+00:00,43,0,1.0,0.0,INTENDED,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.,3,28.0,5.375,0.022222222222222223,3.784189633918261,2.1972245773362196,create,0,0,0,0,0.0
4,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,s3:PutBucketPolicy,*,*,475,INLINE,21,17,24,2026-08-01 23:15:00+00:00,2026-08-26 23:15:00+00:00,21,0,1.0,0.0,INTENDED,S3,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.,4,25.0,1.2352941176470589,0.043478260869565216,3.091042453358316,2.8903717578961645,put,0,1,0,1,1.0
5,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,apigateway:UpdateApiKey,arn:aws:synthetic:api-gateway:123456789012:resource/updateapikey-5425,specific,578,INLINE,38,18,15,2026-07-10 09:43:00+00:00,2026-09-05 09:43:00+00:00,37,1,0.9736842105263158,0.026316,INTENDED,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.,5,57.0,2.111111111111111,0.05,3.6635616461296463,2.9444389791664403,update,0,0,0,0,0.0
6,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,lambda:GetFunctionCodeSigningConfig,*,*,146,INLINE,16,9,18,2026-08-11 04:37:00+00:00,2026-09-02 04:37:00+00:00,16,0,1.0,0.0,INTENDED,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.,6,22.0,1.7777777777777777,0.05555555555555555,2.833213344056216,2.302585092994046,get,0,0,0,1,1.0
7,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,apigateway:UpdateBasePathMapping,arn:aws:synthetic:api-gateway:123456789012:resource/updatebasepathmapping-2213,specific,511,MANAGED,17,9,38,2026-06-07 16:46:00+00:00,2026-08-12 16:46:00+00:00,17,0,1.0,0.0,INTENDED,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.,7,66.0,1.8888888888888888,0.05263157894736842,2.8903717578961645,2.302585092994046,update,0,0,0,0,0.0
8,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,rds:StartDBInstance,*,*,302,INLINE,1,1,12,2026-06-30 22:53:00+00:00,2026-09-07 22:53:00+00:00,1,0,1.0,0.0,INTENDED,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.,8,69.0,1.0,0.3333333333333333,0.6931471805599453,0.6931471805599453,start,0,0,0,1,1.0
9,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,lambda:DeleteFunction,*,*,642,INLINE,1,1,44,2026-06-03 23:43:00+00:00,2026-08-06 23:43:00+00:00,1,0,1.0,0.0,INTENDED,Lambda,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data.",9,64.0,1.0,0.3333333333333333,0.6931471805599453,0.6931471805599453,delete,1,0,0,1,1.0
10,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,apigateway:UpdateDocumentationVersion,arn:aws:synthetic:api-gateway:123456789012:resource/updatedocumentationversion-6280,specific,314,INLINE,1,1,79,2026-06-21 17:58:00+00:00,2026-07-02 17:58:00+00:00,1,0,1.0,0.0,INTENDED,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.,10,11.0,1.0,0.3333333333333333,0.6931471805599453,0.6931471805599453,update,0,0,0,0,0.0
