id,user_id,role_id,position,department,team,action,resource,resource_scope,permission_age_days,policy_attachment,usage_count,unique_days_used,days_since_last_use,first_used,last_used,success_count,failure_count,success_rate,failure_rate,permission_status,service,operation_type,risk_level,risk_weight
1,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,apigateway:TagResource,arn:aws:synthetic:api-gateway:123456789012:resource/tagresource-7291,specific,602,MANAGED,4,4,111,2026-05-23T21:57:00Z,2026-05-31T21:57:00Z,4,0,1.0,0.0,INTENDED,API Gateway,TAGGING,LOW,3
2,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,apigateway:GetRestApis,arn:aws:synthetic:api-gateway:123456789012:resource/getrestapis-8251,specific,428,INLINE,19,10,30,2026-07-20T21:44:00Z,2026-08-20T21:44:00Z,19,0,1.0,0.0,INTENDED,API Gateway,READ,LOW,2
3,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,rds:CreateDBProxy,arn:aws:synthetic:rds:123456789012:resource/createdbproxy-7232,specific,292,MANAGED,43,8,34,2026-07-19T16:03:00Z,2026-08-16T16:03:00Z,43,0,1.0,0.0,INTENDED,RDS,WRITE,MEDIUM,5
4,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,s3:PutBucketPolicy,*,*,475,INLINE,21,17,24,2026-08-01T23:15:00Z,2026-08-26T23:15:00Z,21,0,1.0,0.0,INTENDED,S3,PERMISSION_CHANGE,CRITICAL,10
5,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,apigateway:UpdateApiKey,arn:aws:synthetic:api-gateway:123456789012:resource/updateapikey-5425,specific,578,INLINE,38,18,15,2026-07-10T09:43:00Z,2026-09-05T09:43:00Z,37,1,0.973684,0.026316,INTENDED,API Gateway,WRITE,MEDIUM,5
6,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,lambda:GetFunctionCodeSigningConfig,*,*,146,INLINE,16,9,18,2026-08-11T04:37:00Z,2026-09-02T04:37:00Z,16,0,1.0,0.0,INTENDED,Lambda,READ,LOW,2
7,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,apigateway:UpdateBasePathMapping,arn:aws:synthetic:api-gateway:123456789012:resource/updatebasepathmapping-2213,specific,511,MANAGED,17,9,38,2026-06-07T16:46:00Z,2026-08-12T16:46:00Z,17,0,1.0,0.0,INTENDED,API Gateway,WRITE,MEDIUM,5
8,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,rds:StartDBInstance,*,*,302,INLINE,1,1,12,2026-06-30T22:53:00Z,2026-09-07T22:53:00Z,1,0,1.0,0.0,INTENDED,RDS,WRITE,MEDIUM,5
9,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,lambda:DeleteFunction,*,*,642,INLINE,1,1,44,2026-06-03T23:43:00Z,2026-08-06T23:43:00Z,1,0,1.0,0.0,INTENDED,Lambda,DELETE,HIGH,8
10,synthetic-user-001,BackendDeveloper-Role,Backend Developer,Engineering,Backend Platform,apigateway:UpdateDocumentationVersion,arn:aws:synthetic:api-gateway:123456789012:resource/updatedocumentationversion-6280,specific,314,INLINE,1,1,79,2026-06-21T17:58:00Z,2026-07-02T17:58:00Z,1,0,1.0,0.0,INTENDED,API Gateway,WRITE,MEDIUM,5
