threshold,precision,recall,f1
0.05,0.7303762192289828,0.9828125,0.8379962696509459
0.055,0.7399388091315604,0.9825,0.8441401530406766
0.06,0.7497612225405922,0.98125,0.8500270709258256
0.065,0.7604848484848484,0.9803125,0.856518771331058
0.07,0.7695897813804962,0.9790625,0.8617796726722596
0.075,0.7775018624286069,0.9784375,0.8664729486647295
0.08,0.7842105263157895,0.9778125,0.870375521557719
0.085,0.791497975708502,0.9775,0.8747203579418344
0.09,0.7982635342185904,0.976875,0.8785834738617201
0.095,0.8023106546854942,0.9765625,0.8809020436927414
0.1,0.8072943610967408,0.9753125,0.8833852250212284
0.105,0.8124022928608651,0.974375,0.8860471724921852
0.11,0.8157068062827225,0.97375,0.8877492877492877
0.115,0.8210332103321033,0.9734375,0.8907635115813555
0.12,0.8255104746751525,0.9728125,0.8931286759431932
0.125,0.8310612135792569,0.9715625,0.8958363348220717
0.13,0.833870101986044,0.9709375,0.8971989604389258
0.135,0.837334772052873,0.97,0.8987983205443753
0.14,0.8409645082633432,0.97,0.9008852125961399
0.145,0.8444141689373297,0.9684375,0.9021834061135371
0.15,0.8465955701394585,0.9675,0.9030188128919352
0.155,0.8487510293713972,0.96625,0.903697208826538
0.16,0.8504132231404958,0.9646875,0.9039531478770132
0.165,0.8526810392482034,0.9640625,0.9049574655324142
0.17,0.8551973318510283,0.9615625,0.9052662547808179
0.175,0.8581797878280291,0.960625,0.9065172515482158
0.18,0.8611890072910825,0.9596875,0.9077741649423589
0.185,0.863700366094058,0.9584375,0.9086061324248259
0.19,0.8655367231638418,0.9575,0.9091988130563798
0.195,0.8672140430351076,0.9571875,0.9099821746880571
0.2,0.8687127024722933,0.9553125,0.9099568388152999
0.205,0.8712899543378996,0.9540625,0.910799522673031
0.21,0.8720663995420721,0.9521875,0.910367493277562
0.215,0.8735302552337253,0.951875,0.9110213847764319
0.22,0.8749640701350963,0.95125,0.9115136996556371
0.225,0.8777040669166426,0.9509375,0.9128543572821359
0.23,0.8801389693109438,0.95,0.9137360985873159
0.235,0.8816362053959965,0.9496875,0.9143974725440048
0.24,0.8832945285215367,0.9484375,0.9147076552139843
0.245,0.8862905583162818,0.9475,0.9158737350853345
0.25,0.8866764275256223,0.94625,0.9154950869236583
0.255,0.8879436784980933,0.9459375,0.9160236041761235
0.26,0.889967637540453,0.9453125,0.9168055766025155
0.265,0.8916765053128689,0.9440625,0.9171220400728597
0.27,0.8939259259259259,0.9428125,0.9177186311787072
0.275,0.8954558954558954,0.9421875,0.918227501142074
0.28,0.896993152724025,0.9415625,0.9187376124409209
0.285,0.8987757539564049,0.940625,0.9192243090548176
0.29,0.8998205741626795,0.9403125,0.9196210268948656
0.295,0.9005988023952096,0.94,0.9198776758409786
0.3,0.9016786570743405,0.94,0.9204406364749081
0.305,0.903003003003003,0.9396875,0.9209800918836141
0.31,0.9043609022556391,0.9396875,0.9216858237547892
0.315,0.9048479373682625,0.9390625,0.9216377856157031
0.32,0.9059107358262968,0.93875,0.9220380601596071
0.325,0.9063726970703715,0.9378125,0.9218246045154355
0.33,0.9070823244552058,0.9365625,0.9215867158671587
0.335,0.9089529590288316,0.9359375,0.922247882986913
