feature,importance_mean,importance_std
service,0.6490566122128921,0.008082131885246698
department,0.21811843077253626,0.010012584071559097
position,0.1903580083708616,0.004914450219399611
days_since_last_use,0.007819701645448563,0.0019872428690428847
usage_count,0.0037422632533694934,0.0013991676941744785
team,0.0011018648039347934,0.00013672144203621
scope_breadth,0.0006292329404897323,0.0002201771201779025
action_family,0.0003763887023160217,0.00033735661435814116
is_security_sensitive,0.00014986252354085572,3.7617824439098346e-05
is_wildcard_resource,8.674449728816037e-05,8.398283206530146e-05
active_days,6.763409586469926e-05,0.0007094764033249145
is_permission_change,2.0613978029548896e-06,2.716897628960466e-06
risk_level,-4.531486355463521e-05,0.0001352955132299334
is_delete,-4.6259973424789266e-05,7.109293708620464e-05
risk_weight,-0.00011435500899205086,0.00030583000793462165
operation_type,-0.00024031706073335268,0.00015579545003251749
log_unique_days_used,-0.0003363137173951314,0.0001607548570968784
log_usage_count,-0.0005088358185992847,0.0002460499855201132
usage_frequency,-0.0006268588517199802,0.0002740461092262177
success_rate,-0.0007717489565225777,0.0004341763728723979
unique_days_used,-0.0013483496672373695,0.001043184365027294
smoothed_failure_rate,-0.0014666158066635516,0.0006162490575760514
