threshold,precision,recall,f1
0.05,0.2,1.0,0.3333333333333333
0.055,0.2000500125031258,1.0,0.3334027922483851
0.06,0.200300450676014,1.0,0.3337505214851898
0.065,0.20040080160320642,1.0,0.333889816360601
0.07,0.20050125313283207,1.0,0.33402922755741127
0.075,0.20060180541624875,1.0,0.3341687552213868
0.08,0.20075282308657466,1.0,0.3343782654127482
0.085,0.20085362791865427,1.0,0.33451808488396406
0.09,0.20070334086912836,0.99875,0.3342396988077808
0.095,0.20090520492833794,0.99875,0.33451957295373663
0.1,0.2010062893081761,0.99875,0.33465968586387435
0.105,0.20110747545935062,0.99875,0.33479991619526506
0.11,0.2015640766902119,0.99875,0.3354324097397145
0.115,0.20192064695476372,0.99875,0.3359260037838974
0.12,0.2020227560050569,0.99875,0.3360672975814932
0.125,0.20212496837844676,0.99875,0.336208710288239
0.13,0.20253485424588086,0.99875,0.3367755532139094
0.135,0.2027439024390244,0.9975,0.33699324324324326
0.14,0.20290224032586557,0.99625,0.3371404399323181
0.145,0.20311303904057157,0.995,0.3373596100868828
0.15,0.20358056265984656,0.995,0.33800424628450104
0.155,0.20394568280809633,0.995,0.3385073357431427
0.16,0.20441705187467898,0.995,0.3391563698338304
0.165,0.20483787956767885,0.995,0.33973538198890313
0.17,0.20536635706914344,0.995,0.34046193327630453
0.175,0.20579110651499483,0.995,0.34104541559554413
0.18,0.20648508430609597,0.995,0.34199785177228786
0.185,0.20686070686070687,0.995,0.342512908777969
0.19,0.20739968733715478,0.995,0.3432514014661492
0.195,0.2083224286835907,0.995,0.344514174421121
0.2,0.20899053627760253,0.99375,0.34535186794092093
0.205,0.209541381128097,0.99375,0.3461036134087941
0.21,0.2100951374207188,0.99375,0.3468586387434555
0.215,0.21068012752391074,0.99125,0.34750219106047325
0.22,0.21149732620320855,0.98875,0.34845814977973566
0.225,0.2118689581095596,0.98625,0.34880636604774534
0.23,0.21285791464073472,0.985,0.3500666370501999
0.235,0.2134922785153075,0.985,0.3509240703629481
0.24,0.2144026186579378,0.9825,0.35199283475145543
0.245,0.2160527762506872,0.9825,0.3542136097341145
0.25,0.21661147902869757,0.98125,0.35488245931283907
0.255,0.21771730074979173,0.98,0.35628266303112927
0.26,0.21818181818181817,0.975,0.3565714285714286
0.265,0.2192513368983957,0.97375,0.35791408224213184
0.27,0.22064662507090188,0.9725,0.3596856218215442
0.275,0.22190530519110097,0.9725,0.36135624709707387
0.28,0.223083548664944,0.97125,0.3628297922017278
0.285,0.22395833333333334,0.9675,0.36372180451127817
0.29,0.22536443148688046,0.96625,0.3654846335697399
0.295,0.22732626619552415,0.965,0.3679694947569113
0.3,0.2286902286902287,0.9625,0.3695704343652508
0.305,0.23130069089816763,0.9625,0.37297166384112374
0.31,0.23340406183692028,0.9625,0.37570139058306906
0.315,0.2361238883777982,0.9625,0.37921694163999015
0.32,0.23809523809523808,0.9625,0.3817550818046604
0.325,0.23938826466916355,0.95875,0.38311688311688313
0.33,0.2409562755583517,0.9575,0.3850213621512943
0.335,0.24182799111393208,0.9525,0.38572513287775245
0.34,0.24358151476251605,0.94875,0.38764044943820225
0.345,0.24522189828312277,0.94625,0.38950347311551325
0.35,0.24713584288052373,0.94375,0.39169909208819714
0.355,0.24892561983471073,0.94125,0.39372549019607844
0.36,0.25074925074925075,0.94125,0.39600315540362874
0.365,0.2532883642495784,0.93875,0.39893758300132803
0.37,0.25580601092896177,0.93625,0.40182403433476394
0.375,0.25899031811894885,0.93625,0.4057421451787649
0.38,0.26088483146067415,0.92875,0.40734649122807015
0.385,0.26338177951081176,0.92875,0.4103838718586026
0.39,0.2664746128916097,0.925,0.41375454291305563
0.395,0.26973684210526316,0.9225,0.417420814479638
0.4,0.27141802067946824,0.91875,0.41904218928164194
0.405,0.2750748502994012,0.91875,0.42338709677419356
0.41,0.2775463839454752,0.91625,0.42603894216797444
0.415,0.28076923076923077,0.9125,0.4294117647058823
0.42,0.2827693504472968,0.90875,0.43132601601898546
0.425,0.2866719242902208,0.90875,0.43585131894484413
0.43,0.2901160464185674,0.90625,0.4395271294331616
0.435,0.2946210268948655,0.90375,0.44437615242778117
0.44,0.2972302604381976,0.89875,0.44672258465361914
0.445,0.30126050420168066,0.89625,0.4509433962264151
0.45,0.30272108843537415,0.89,0.4517766497461929
0.455,0.3074588031222897,0.88625,0.4565357372826787
0.46,0.3119752540874945,0.8825,0.46098596147567744
0.465,0.3161203412662775,0.88,0.4651470102411629
0.47,0.32085805568233683,0.87875,0.4700768973587429
0.475,0.32358402971216343,0.87125,0.4719025050778605
0.48,0.3278223901747756,0.8675,0.4758313335618786
0.485,0.3309283309283309,0.86,0.477943730461966
0.49,0.33415233415233414,0.85,0.47971781305114636
0.495,0.3365,0.84125,0.4807142857142857
0.5,0.33944020356234095,0.83375,0.4824593128390597
0.505,0.34554973821989526,0.825,0.4870848708487085
0.51,0.35139484978540775,0.81875,0.49174174174174173
0.515,0.3539049699617695,0.81,0.4925883694412771
0.52,0.3567056204785754,0.80125,0.49364651520985753
0.525,0.3616657159155733,0.7925,0.49667058362710537
0.53,0.36512580456407256,0.78,0.49740932642487046
0.535,0.3681384248210024,0.77125,0.4983844911147011
0.54,0.37339841366687004,0.765,0.5018450184501845
0.545,0.37702871410736577,0.755,0.5029142381348876
0.55,0.38095238095238093,0.74,0.5029736618521665
0.555,0.38598810310641113,0.73,0.5049718979680069
0.56,0.3852901484480432,0.71375,0.5004382120946538
0.565,0.391123439667129,0.705,0.5031222123104371
0.57,0.39115168539325845,0.69625,0.5008992805755396
0.575,0.3930099857346648,0.68875,0.5004541326067211
0.58,0.3982365907421014,0.6775,0.5016196205460435
0.585,0.4053231939163498,0.66625,0.5040189125295508
0.59,0.4111198120595145,0.65625,0.5055368319691863
0.595,0.41283676703645006,0.65125,0.5053346265761397
0.6,0.42152834839769926,0.64125,0.5086762518591968
0.605,0.429421768707483,0.63125,0.5111336032388664
0.61,0.43356643356643354,0.62,0.5102880658436214
0.615,0.4375,0.6125,0.5104166666666666
0.62,0.44152311876699907,0.60875,0.511823436678928
0.625,0.4496268656716418,0.6025,0.5149572649572649
0.63,0.45472061657032753,0.59,0.5136017410228509
0.635,0.45978152929493543,0.57875,0.5124515771997786
0.64,0.4635149023638232,0.56375,0.5087422447828539
0.645,0.46842105263157896,0.55625,0.5085714285714286
0.65,0.47368421052631576,0.55125,0.5095320623916811
0.655,0.4790748898678414,0.54375,0.509367681498829
0.66,0.48484848484848486,0.54,0.5109402720283855
0.665,0.4869169510807736,0.535,0.509827278141751
0.67,0.49019607843137253,0.53125,0.5098980203959208
0.675,0.49645390070921985,0.525,0.5103280680437424
0.68,0.5024509803921569,0.5125,0.5074257425742574
0.685,0.5087281795511222,0.51,0.5093632958801498
0.69,0.5135135135135135,0.49875,0.5060240963855421
0.695,0.5156657963446475,0.49375,0.5044699872286079
0.7,0.5165562913907285,0.4875,0.5016077170418006
0.705,0.517426273458445,0.4825,0.49935316946959896
0.71,0.5290858725761773,0.4775,0.5019710906701709
0.715,0.5322812051649928,0.46375,0.4956579826319305
0.72,0.5279411764705882,0.44875,0.4851351351351351
0.725,0.5346385542168675,0.44375,0.4849726775956284
0.73,0.5320813771517997,0.425,0.47255038220986795
0.735,0.5353697749196141,0.41625,0.46835443037974683
0.74,0.5396039603960396,0.40875,0.465149359886202
0.745,0.5384615384615384,0.4025,0.46065808297567956
0.75,0.5387263339070568,0.39125,0.4532947139753802
0.755,0.553941908713693,0.33375,0.4165366614664587
0.76,0.5617021276595745,0.33,0.415748031496063
0.765,0.5626373626373626,0.32,0.40796812749003986
0.77,0.5644444444444444,0.3175,0.4064
0.775,0.5701357466063348,0.315,0.4057971014492754
0.78,0.573394495412844,0.3125,0.4045307443365696
0.785,0.5738095238095238,0.30125,0.3950819672131147
0.79,0.5767326732673267,0.29125,0.38704318936877075
0.795,0.5746268656716418,0.28875,0.3843594009983361
0.8,0.5772151898734177,0.285,0.3815899581589958
0.805,0.5768115942028985,0.24875,0.3475982532751092
0.81,0.573134328358209,0.24,0.3383259911894273
0.815,0.574468085106383,0.23625,0.33480956598759964
0.82,0.5709876543209876,0.23125,0.3291814946619217
0.825,0.573208722741433,0.23,0.328278322925959
0.83,0.5746606334841629,0.15875,0.24877571008814886
0.835,0.5714285714285714,0.155,0.24385447394296952
0.84,0.5829383886255924,0.15375,0.2433234421364985
0.845,0.5769230769230769,0.15,0.23809523809523808
0.85,0.5797101449275363,0.15,0.23833167825223436
0.855,0.582089552238806,0.14625,0.23376623376623376
0.86,0.5829145728643216,0.145,0.23223223223223224
0.865,0.5833333333333334,0.14,0.22580645161290322
0.87,0.5860215053763441,0.13625,0.2210953346855984
0.875,0.5769230769230769,0.13125,0.21384928716904278
0.88,0.552,0.08625,0.1491891891891892
0.885,0.5528455284552846,0.085,0.14734561213434452
0.89,0.5462184873949579,0.08125,0.14145810663764963
0.895,0.5508474576271186,0.08125,0.14161220043572983
0.9,0.5972222222222222,0.05375,0.09862385321100918
0.905,0.5915492957746479,0.0525,0.09644087256027555
0.91,0.5797101449275363,0.05,0.09205983889528194
0.915,0.5735294117647058,0.04875,0.08986175115207373
0.92,0.5606060606060606,0.04625,0.08545034642032333
0.925,0.5714285714285714,0.045,0.08342989571263036
0.93,0.5423728813559322,0.04,0.07450523864959255
0.935,0.543859649122807,0.03875,0.07234539089848308
0.94,0.5357142857142857,0.0375,0.07009345794392523
0.945,0.5357142857142857,0.0375,0.07009345794392523
0.95,0.5454545454545454,0.0375,0.07017543859649122
